id,can_smiles,ac
CHEMBL397112,O=S(=O)(c1ccc(/C=C/c2ccc(F)cc2Cl)nc1)c1ccccc1F,1
CHEMBL239081,CC1CCCN1CCCOc1ccc(N2CCN(C(=O)c3cc(F)cc(F)c3)CC2=O)cc1,1
CHEMBL221077,COC(=O)N(NC(=O)c1c(CN2CCCCC2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,1
CHEMBL202884,O=C1N(C2(c3ccccc3)CCC(N3CCC4(CCOC4)CC3)CC2)CCC1(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,1
CHEMBL490,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,1
CHEMBL3218648,COCCN1CCCC(Cn2c(-c3ccccc3C)nc3cc(-c4ccc(Cl)cc4)sc3c2=O)C1,1
CHEMBL1171886,O=C(c1ccc(Oc2ccc(Cl)cc2)nc1)N1CCCN(C2CCC2)CC1,1
CHEMBL273208,CNCc1cnc(C)cc1Oc1ccccc1Oc1ccccc1,1
CHEMBL3099950,NC(=O)Nc1ccc(F)cc1OCC(O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2,1
CHEMBL217400,COc1cccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)c1,1
CHEMBL1090186,COc1ccc2c(c1)CC(CCN(C)C)=C2C(C)c1nccnc1OC,1
CHEMBL203961,O=C1CN(C2CCC(c3ccccc3)(N3CCC(c4cc(C(F)(F)F)cc(C(F)(F)F)c4)C3=O)CC2)CCN1c1ccccc1,1
CHEMBL557932,COc1ccc(CNC2CCC(C(=O)N3CCC(C(=O)N4CCCC4)(c4ccccc4)CC3)C(C)(C)C2)cc1,1
CHEMBL205492,O=c1nc(NC2CCN(Cc3ccc4c(c3)OCO4)CC2)c2cc(Cl)ccc2n1CC(F)(F)F,1
CHEMBL1835148,NC(=O)c1cnc(NC(C2CC2)C2CC2)c2c1[nH]c1cc(-c3cnc(N)cn3)ccc12,1
CHEMBL408169,Cc1ccc2c(-c3nnc(SCCCN4CCc5cc6c(cc5CC4)OCCN6)n3C)cccc2n1,1
CHEMBL1910306,COCCCn1cc(CN(C(=O)C2CNCCC2(O)c2ccc(F)c(F)c2)C2CC2)c2c(F)ccc(Cn3ccnc3)c21,1
CHEMBL1224701,O=S(=O)(Nc1ccc(C23CNCC2C3)cc1)c1ccc(OC(F)(F)F)cc1,1
CHEMBL1092105,CCN1CCC(N(C(=O)NCc2ccc(F)cc2)c2ccc(Cl)cc2)CC1,1
CHEMBL377697,O=C(Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC3CCCCC3)CC2)c1)C1CC1,1
CHEMBL380651,O=C1CN(C2CCC(c3ccccc3)(N3CCCC(c4cc(C(F)(F)F)cc(C(F)(F)F)c4)C3=O)CC2)CCN1c1ccccc1,1
CHEMBL2012178,Cc1c(C)n(Cc2ccccc2)c2ncnc(OC3CCN(Cc4cscn4)CC3)c12,1
CHEMBL461023,COc1cccc2cc3n(c12)CCN(CCCCNC(=O)C1=Cc2ccccc2CN1)C3,1
CHEMBL1910302,COCCCc1ccc(F)c2c(CN(C(=O)C3CNCCC3(O)c3ccc(F)c(F)c3)C3CC3)cn(CCCOC)c12,1
CHEMBL453654,COc1ccc2nc(-c3ccc(OC4CCN(C5CCC5)CC4)cc3)n(C)c(=O)c2c1,1
CHEMBL253878,O=C(Cc1ccccc1)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,1
CHEMBL1834637,CC(C)C1CCC(N2CC(NC(=O)CNc3n[nH]c4ccc(C(F)(F)F)cc34)C2)CC1,1
CHEMBL453631,CNC(C)c1cc(C)ccc1Oc1ccc(Cl)c(Cl)c1,1
CHEMBL1258845,NC(=O)c1cccc(OC2CC3CCC(C2)N3C2CCCCC2)c1,1
CHEMBL468307,Cc1ccc(-c2c(C)c(CNC3CCCC3)nn2-c2ncc(Cl)cc2Cl)cn1,1
CHEMBL533,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,1
CHEMBL3609635,COc1cc(-c2cn(C3CCc4c(ccc5ccccc45)N(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,1
